rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,track_id,rank_tier,popularity,duration_ms,explicit,album_type,total_tracks,duration_min
1,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,101,513110,1,1yGJ40k7HLF3odITZPoQs4,Top 10,76.16396977896632,130500,False,single,1,2.175
2,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,129,512532,1,55vPnuXfuzXNW75JpuSczF,Top 10,76.0563301593923,176213,False,album,20,2.9368833333333333
3,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,4,112,426362,1,35eK52MQkpWLxwyIAGKKXT,Top 10,60.009087912517664,147692,True,single,1,2.461533333333333
4,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,3,26,409095,1,0T1CzbjyOEU60cL5G244di,Top 10,56.79349394853038,125454,True,single,1,2.0909
5,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,17,360907,1,2ZxulKXVUpatqUe0quNMtP,Top 10,47.819552792763936,182000,True,single,1,3.033333333333333
6,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,8,62,313205,1,3Bu67MTSsLLJNyZ8qg3itI,Top 10,38.93611830674312,164986,True,album,14,2.7497666666666665
7,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,6,108,308153,1,7EyB1sN9IUO1YXIoHTyZRk,Top 10,37.99529588790581,141389,False,album,25,2.3564833333333333
8,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,7,185,233588,1,0wLCA75tmsos5ZcVzqHFQ1,Top 10,24.109226279710306,158859,False,album,18,2.64765
9,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,10,230,220584,1,4ffqxU54Ll4YRz5NVBe77w,Top 10,21.68752106701032,174493,True,album,17,2.9082166666666667
10,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,13,157,212582,1,3qhlB30KknSejmIvZZLjOD,Top 10,20.19732688737134,159245,False,album,13,2.6540833333333333
11,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,9,87,207415,1,4eGoCBOGEAQty5nfWRC0VD,Top 25,19.235088281248544,201103,False,single,1,3.3517166666666665
12,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,11,17,206372,1,5UpupDvr2w93ccnEmmhS5q,Top 25,19.040852773954935,183307,False,single,1,3.0551166666666667
